time,x,z,heading,state,lane_index,turn_phase,left_vel,right_vel,lane_dir
0.0160,9.500067,-9.499963,0.000000,DRIVE_LANE,0,NONE,-5.0000,-5.0000,-X
0.0320,9.498543,-9.499995,0.000082,DRIVE_LANE,0,NONE,-4.9986,-4.9986,-X
0.0480,9.494851,-9.500016,0.000149,DRIVE_LANE,0,NONE,-4.9976,-4.9976,-X
0.0640,9.488985,-9.500034,0.000214,DRIVE_LANE,0,NONE,-4.9966,-4.9966,-X
0.0800,9.481488,-9.500039,0.000214,DRIVE_LANE,0,NONE,-4.9965,-4.9965,-X
0.0960,9.472736,-9.500044,0.000214,DRIVE_LANE,0,NONE,-4.9964,-4.9964,-X
0.1120,9.462737,-9.500048,0.000215,DRIVE_LANE,0,NONE,-4.9963,-4.9963,-X
0.1280,9.451508,-9.500052,0.000215,DRIVE_LANE,0,NONE,-4.9962,-4.9962,-X
0.1440,9.444936,-9.500054,0.000215,DRIVE_LANE,0,NONE,-4.9962,-4.9962,-X
0.1600,9.437144,-9.500057,0.000215,DRIVE_LANE,0,NONE,-4.9961,-4.9961,-X
0.1760,9.428115,-9.500059,0.000215,DRIVE_LANE,0,NONE,-4.9961,-4.9961,-X
0.1920,9.420557,-9.500062,0.000215,DRIVE_LANE,0,NONE,-4.9960,-4.9960,-X
0.2080,9.411770,-9.500064,0.000215,DRIVE_LANE,0,NONE,-4.9960,-4.9960,-X
0.2240,9.404101,-9.500066,0.000215,DRIVE_LANE,0,NONE,-4.9959,-4.9959,-X
0.2400,9.396155,-9.500068,0.000215,DRIVE_LANE,0,NONE,-4.9959,-4.9959,-X
0.2560,9.388190,-9.500070,0.000215,DRIVE_LANE,0,NONE,-4.9958,-4.9958,-X
0.2720,9.380219,-9.500072,0.000215,DRIVE_LANE,0,NONE,-4.9958,-4.9958,-X
0.2880,9.372244,-9.500074,0.000215,DRIVE_LANE,0,NONE,-4.9958,-4.9958,-X
0.3040,9.364265,-9.500076,0.000215,DRIVE_LANE,0,NONE,-4.9957,-4.9957,-X
0.3200,9.356283,-9.500077,0.000215,DRIVE_LANE,0,NONE,-4.9957,-4.9957,-X
0.3360,9.348299,-9.500079,0.000215,DRIVE_LANE,0,NONE,-4.9956,-4.9956,-X
0.3520,9.340313,-9.500081,0.000215,DRIVE_LANE,0,NONE,-4.9956,-4.9956,-X
0.3680,9.332326,-9.500083,0.000215,DRIVE_LANE,0,NONE,-4.9956,-4.9956,-X
0.3840,9.324337,-9.500084,0.000215,DRIVE_LANE,0,NONE,-4.9955,-4.9955,-X
0.4000,9.316348,-9.500086,0.000215,DRIVE_LANE,0,NONE,-4.9955,-4.9955,-X
0.4160,9.308358,-9.500088,0.000215,DRIVE_LANE,0,NONE,-4.9955,-4.9955,-X
0.4320,9.300368,-9.500090,0.000215,DRIVE_LANE,0,NONE,-4.9938,-4.9971,-X
0.4480,9.292377,-9.500091,0.000210,DRIVE_LANE,0,NONE,-4.9938,-4.9971,-X
0.4640,9.284386,-9.500093,0.000205,DRIVE_LANE,0,NONE,-4.9938,-4.9971,-X
0.4800,9.276394,-9.500094,0.000201,DRIVE_LANE,0,NONE,-4.9955,-4.9955,-X
0.4960,9.268403,-9.500096,0.000201,DRIVE_LANE,0,NONE,-4.9938,-4.9971,-X
0.5120,9.260411,-9.500097,0.000196,DRIVE_LANE,0,NONE,-4.9938,-4.9971,-X
0.5280,9.252419,-9.500098,0.000191,DRIVE_LANE,0,NONE,-4.9955,-4.9955,-X
0.5440,9.244426,-9.500100,0.000191,DRIVE_LANE,0,NONE,-4.9938,-4.9971,-X
0.5600,9.236434,-9.500101,0.000186,DRIVE_LANE,0,NONE,-4.9938,-4.9971,-X
0.5760,9.228442,-9.500102,0.000181,DRIVE_LANE,0,NONE,-4.9955,-4.9955,-X
0.5920,9.220449,-9.500103,0.000181,DRIVE_LANE,0,NONE,-4.9955,-4.9955,-X
0.6080,9.212457,-9.500105,0.000181,DRIVE_LANE,0,NONE,-4.9938,-4.9971,-X
0.6240,9.204464,-9.500106,0.000175,DRIVE_LANE,0,NONE,-4.9955,-4.9955,-X
0.6400,9.196471,-9.500107,0.000175,DRIVE_LANE,0,NONE,-4.9938,-4.9971,-X
0.6560,9.188479,-9.500108,0.000169,DRIVE_LANE,0,NONE,-4.9955,-4.9955,-X
0.6720,9.180486,-9.500109,0.000169,DRIVE_LANE,0,NONE,-4.9938,-4.9971,-X
0.6880,9.172494,-9.500110,0.000163,DRIVE_LANE,0,NONE,-4.9955,-4.9955,-X
0.7040,9.164501,-9.500111,0.000163,DRIVE_LANE,0,NONE,-4.9938,-4.9971,-X
0.7200,9.156508,-9.500112,0.000157,DRIVE_LANE,0,NONE,-4.9955,-4.9955,-X
0.7360,9.148515,-9.500113,0.000157,DRIVE_LANE,0,NONE,-4.9955,-4.9955,-X
0.7520,9.140523,-9.500114,0.000157,DRIVE_LANE,0,NONE,-4.9938,-4.9971,-X
0.7680,9.132530,-9.500115,0.000152,DRIVE_LANE,0,NONE,-4.9955,-4.9955,-X
0.7840,9.124537,-9.500116,0.000152,DRIVE_LANE,0,NONE,-4.9955,-4.9955,-X
0.8000,9.116545,-9.500117,0.000152,DRIVE_LANE,0,NONE,-4.9938,-4.9971,-X
0.8160,9.108552,-9.500118,0.000146,DRIVE_LANE,0,NONE,-4.9955,-4.9955,-X
0.8320,9.100559,-9.500119,0.000146,DRIVE_LANE,0,NONE,-4.9938,-4.9971,-X
0.8480,9.092566,-9.500119,0.000140,DRIVE_LANE,0,NONE,-4.9955,-4.9955,-X
0.8640,9.084574,-9.500120,0.000140,DRIVE_LANE,0,NONE,-4.9955,-4.9955,-X
0.8800,9.076581,-9.500121,0.000140,DRIVE_LANE,0,NONE,-4.9938,-4.9971,-X
0.8960,9.068588,-9.500122,0.000134,DRIVE_LANE,0,NONE,-4.9955,-4.9955,-X
0.9120,9.060595,-9.500123,0.000134,DRIVE_LANE,0,NONE,-4.9955,-4.9955,-X
0.9280,9.052603,-9.500124,0.000134,DRIVE_LANE,0,NONE,-4.9938,-4.9971,-X
0.9440,9.044610,-9.500125,0.000129,DRIVE_LANE,0,NONE,-4.9955,-4.9955,-X
0.9600,9.036617,-9.500126,0.000129,DRIVE_LANE,0,NONE,-4.9955,-4.9955,-X
0.9760,9.028624,-9.500127,0.000129,DRIVE_LANE,0,NONE,-4.9938,-4.9971,-X
0.9920,9.020632,-9.500127,0.000123,DRIVE_LANE,0,NONE,-4.9955,-4.9955,-X
1.0080,9.012639,-9.500128,0.000123,DRIVE_LANE,0,NONE,-4.9955,-4.9955,-X
1.0240,9.004646,-9.500129,0.000123,DRIVE_LANE,0,NONE,-4.9938,-4.9971,-X
1.0400,8.996653,-9.500130,0.000118,DRIVE_LANE,0,NONE,-4.9955,-4.9955,-X
1.0560,8.988661,-9.500130,0.000118,DRIVE_LANE,0,NONE,-4.9955,-4.9955,-X
1.0720,8.980668,-9.500131,0.000118,DRIVE_LANE,0,NONE,-4.9938,-4.9971,-X
1.0880,8.972675,-9.500132,0.000113,DRIVE_LANE,0,NONE,-4.9955,-4.9955,-X
1.1040,8.964682,-9.500133,0.000113,DRIVE_LANE,0,NONE,-4.9955,-4.9955,-X
